seq,menu,api_name,api_id,method,url,fit_type,mock_supported,tr_real,tr_mock
83,[국내주식] 업종/기타,변동성완화장치(VI) 현황,v1_국내주식-055,GET,/uapi/domestic-stock/v1/quotations/inquire-vi-status,other_query,N,FHPST01390000,모의투자 미지원
84,[국내주식] 업종/기타,종합 시황/공시(제목),국내주식-141,GET,/uapi/domestic-stock/v1/quotations/news-title,other_query,N,FHKST01011800,모의투자 미지원
85,[국내주식] 종목정보,상품기본조회,v1_국내주식-029,GET,/uapi/domestic-stock/v1/quotations/search-info,symbol_snapshot,N,CTPF1604R,모의투자 미지원
86,[국내주식] 종목정보,예탁원정보(상장정보일정),국내주식-150,GET,/uapi/domestic-stock/v1/ksdinfo/list-info,other_query,N,HHKDB669107C0,모의투자 미지원
87,[국내주식] 종목정보,예탁원정보(공모주청약일정),국내주식-151,GET,/uapi/domestic-stock/v1/ksdinfo/pub-offer,other_query,N,HHKDB669108C0,모의투자 미지원
88,[국내주식] 종목정보,국내주식 재무비율,v1_국내주식-080,GET,/uapi/domestic-stock/v1/finance/financial-ratio,other_query,N,FHKST66430300,모의투자 미지원
89,[국내주식] 종목정보,예탁원정보(자본감소일정),국내주식-149,GET,/uapi/domestic-stock/v1/ksdinfo/cap-dcrs,other_query,N,HHKDB669106C0,모의투자 미지원
90,[국내주식] 종목정보,예탁원정보(무상증자일정),국내주식-144,GET,/uapi/domestic-stock/v1/ksdinfo/bonus-issue,other_query,N,HHKDB669101C0,모의투자 미지원
91,[국내주식] 종목정보,국내주식 증권사별 투자의견,국내주식-189,GET,/uapi/domestic-stock/v1/quotations/invest-opbysec,other_query,N,FHKST663400C0,모의투자 미지원
92,[국내주식] 종목정보,국내주식 당사 신용가능종목,국내주식-111,GET,/uapi/domestic-stock/v1/quotations/credit-by-company,other_query,N,FHPST04770000,모의투자 미지원
93,[국내주식] 종목정보,예탁원정보(주식매수청구일정),국내주식-146,GET,/uapi/domestic-stock/v1/ksdinfo/purreq,other_query,N,HHKDB669103C0,모의투자 미지원
94,[국내주식] 종목정보,예탁원정보(액면교체일정),국내주식-148,GET,/uapi/domestic-stock/v1/ksdinfo/rev-split,other_query,N,HHKDB669105C0,모의투자 미지원
95,[국내주식] 종목정보,예탁원정보(배당일정),국내주식-145,GET,/uapi/domestic-stock/v1/ksdinfo/dividend,other_query,N,HHKDB669102C0,모의투자 미지원
96,[국내주식] 종목정보,국내주식 종목투자의견,국내주식-188,GET,/uapi/domestic-stock/v1/quotations/invest-opinion,other_query,N,FHKST663300C0,모의투자 미지원
97,[국내주식] 종목정보,국내주식 안정성비율,v1_국내주식-083,GET,/uapi/domestic-stock/v1/finance/stability-ratio,other_query,N,FHKST66430600,모의투자 미지원
98,[국내주식] 종목정보,국내주식 수익성비율,v1_국내주식-081,GET,/uapi/domestic-stock/v1/finance/profit-ratio,other_query,N,FHKST66430400,모의투자 미지원
99,[국내주식] 종목정보,예탁원정보(실권주일정),국내주식-152,GET,/uapi/domestic-stock/v1/ksdinfo/forfeit,other_query,N,HHKDB669109C0,모의투자 미지원
100,[국내주식] 종목정보,예탁원정보(의무예치일정),국내주식-153,GET,/uapi/domestic-stock/v1/ksdinfo/mand-deposit,other_query,N,HHKDB669110C0,모의투자 미지원
101,[국내주식] 종목정보,국내주식 손익계산서,v1_국내주식-079,GET,/uapi/domestic-stock/v1/finance/income-statement,other_query,N,FHKST66430200,모의투자 미지원
102,[국내주식] 종목정보,당사 대주가능 종목,국내주식-195,GET,/uapi/domestic-stock/v1/quotations/lendable-by-company,other_query,N,CTSC2702R,모의투자 미지원
103,[국내주식] 종목정보,주식기본조회,v1_국내주식-067,GET,/uapi/domestic-stock/v1/quotations/search-stock-info,symbol_snapshot,N,CTPF1002R,모의투자 미지원
104,[국내주식] 종목정보,예탁원정보(유상증자일정),국내주식-143,GET,/uapi/domestic-stock/v1/ksdinfo/paidin-capin,other_query,N,HHKDB669100C0,모의투자 미지원
105,[국내주식] 종목정보,예탁원정보(주주총회일정),국내주식-154,GET,/uapi/domestic-stock/v1/ksdinfo/sharehld-meet,other_query,N,HHKDB669111C0,모의투자 미지원
106,[국내주식] 종목정보,국내주식 성장성비율,v1_국내주식-085,GET,/uapi/domestic-stock/v1/finance/growth-ratio,other_query,N,FHKST66430800,모의투자 미지원
107,[국내주식] 종목정보,국내주식 대차대조표,v1_국내주식-078,GET,/uapi/domestic-stock/v1/finance/balance-sheet,other_query,N,FHKST66430100,모의투자 미지원
108,[국내주식] 종목정보,예탁원정보(합병/분할일정),국내주식-147,GET,/uapi/domestic-stock/v1/ksdinfo/merger-split,other_query,N,HHKDB669104C0,모의투자 미지원
109,[국내주식] 종목정보,국내주식 종목추정실적,국내주식-187,GET,/uapi/domestic-stock/v1/quotations/estimate-perform,other_query,N,HHKST668300C0,모의투자 미지원
110,[국내주식] 종목정보,국내주식 기타주요비율,v1_국내주식-082,GET,/uapi/domestic-stock/v1/finance/other-major-ratios,other_query,N,FHKST66430500,모의투자 미지원
111,[국내주식] 시세분석,프로그램매매 종합현황(시간),국내주식-114,GET,/uapi/domestic-stock/v1/quotations/comp-program-trade-today,other_query,N,FHPPG04600101,모의투자 미지원
112,[국내주식] 시세분석,국내주식 신용잔고 일별추이,국내주식-110,GET,/uapi/domestic-stock/v1/quotations/daily-credit-balance,other_query,N,FHPST04760000,모의투자 미지원
113,[국내주식] 시세분석,시장별 투자자매매동향(일별),국내주식-075,GET,/uapi/domestic-stock/v1/quotations/inquire-investor-daily-by-market,factor_bulk_or_symbol,N,FHPTJ04040000,모의투자 미지원
114,[국내주식] 시세분석,국내주식 공매도 일별추이,국내주식-134,GET,/uapi/domestic-stock/v1/quotations/daily-short-sale,other_query,N,FHPST04830000,모의투자 미지원
115,[국내주식] 시세분석,종목별 투자자매매동향(일별),종목별 투자자매매동향(일별),GET,/uapi/domestic-stock/v1/quotations/investor-trade-by-stock-daily,factor_bulk_or_symbol,N,FHPTJ04160001,모의투자 미지원
116,[국내주식] 시세분석,종목조건검색 목록조회,국내주식-038,GET,/uapi/domestic-stock/v1/quotations/psearch-title,universe_direct,N,HHKST03900300,모의투자 미지원
117,[국내주식] 시세분석,국내주식 상하한가 포착,국내주식-190,GET,/uapi/domestic-stock/v1/quotations/capture-uplowprice,other_query,N,FHKST130000C0,모의투자 미지원
118,[국내주식] 시세분석,프로그램매매 종합현황(일별),국내주식-115,GET,/uapi/domestic-stock/v1/quotations/comp-program-trade-daily,other_query,N,FHPPG04600001,모의투자 미지원
