menu,api_name,api_id,method,url,tr_real,tr_mock
[국내주식] 기본시세,주식현재가 체결,v1_국내주식-009,GET,/uapi/domestic-stock/v1/quotations/inquire-ccnl,FHKST01010300,FHKST01010300
[국내주식] 기본시세,주식현재가 투자자,v1_국내주식-012,GET,/uapi/domestic-stock/v1/quotations/inquire-investor,FHKST01010900,FHKST01010900
[국내주식] 기본시세,주식현재가 호가/예상체결,v1_국내주식-011,GET,/uapi/domestic-stock/v1/quotations/inquire-asking-price-exp-ccn,FHKST01010200,FHKST01010200
[국내주식] 기본시세,주식현재가 회원사,v1_국내주식-013,GET,/uapi/domestic-stock/v1/quotations/inquire-member,FHKST01010600,FHKST01010600
[국내주식] 순위분석,HTS조회상위20종목,국내주식-214,GET,/uapi/domestic-stock/v1/ranking/hts-top-view,HHMCM000100C0,모의투자 미지원
[국내주식] 순위분석,거래량순위,v1_국내주식-047,GET,/uapi/domestic-stock/v1/quotations/volume-rank,FHPST01710000,모의투자 미지원
[국내주식] 순위분석,국내주식 공매도 상위종목,국내주식-133,GET,/uapi/domestic-stock/v1/ranking/short-sale,FHPST04820000,모의투자 미지원
[국내주식] 순위분석,국내주식 관심종목등록 상위,v1_국내주식-102,GET,/uapi/domestic-stock/v1/ranking/top-interest-stock,FHPST01800000,모의투자 미지원
[국내주식] 순위분석,국내주식 당사매매종목 상위,v1_국내주식-104,GET,/uapi/domestic-stock/v1/ranking/traded-by-company,FHPST01860000,모의투자 미지원
[국내주식] 순위분석,국내주식 대량체결건수 상위,국내주식-107,GET,/uapi/domestic-stock/v1/ranking/bulk-trans-num,FHKST190900C0,모의투자 미지원
[국내주식] 순위분석,국내주식 등락률 순위,v1_국내주식-088,GET,/uapi/domestic-stock/v1/ranking/fluctuation,FHPST01700000,모의투자 미지원
[국내주식] 순위분석,국내주식 배당률 상위,국내주식-106,GET,/uapi/domestic-stock/v1/ranking/dividend-rate,HHKDB13470100,모의투자 미지원
[국내주식] 순위분석,국내주식 수익자산지표 순위,v1_국내주식-090,GET,/uapi/domestic-stock/v1/ranking/profit-asset-index,FHPST01730000,모의투자 미지원
[국내주식] 순위분석,국내주식 시가총액 상위,v1_국내주식-091,GET,/uapi/domestic-stock/v1/ranking/market-cap,FHPST01740000,모의투자 미지원
[국내주식] 순위분석,국내주식 시간외거래량순위,국내주식-139,GET,/uapi/domestic-stock/v1/ranking/overtime-volume,FHPST02350000,모의투자 미지원
[국내주식] 순위분석,국내주식 시간외등락율순위,국내주식-138,GET,/uapi/domestic-stock/v1/ranking/overtime-fluctuation,FHPST02340000,모의투자 미지원
[국내주식] 순위분석,국내주식 시간외잔량 순위,v1_국내주식-093,GET,/uapi/domestic-stock/v1/ranking/after-hour-balance,FHPST01760000,모의투자 미지원
[국내주식] 순위분석,국내주식 시장가치 순위,v1_국내주식-096,GET,/uapi/domestic-stock/v1/ranking/market-value,FHPST01790000,모의투자 미지원
[국내주식] 순위분석,국내주식 신고/신저근접종목 상위,v1_국내주식-105,GET,/uapi/domestic-stock/v1/ranking/near-new-highlow,FHPST01870000,모의투자 미지원
[국내주식] 순위분석,국내주식 신용잔고 상위,국내주식-109,GET,/uapi/domestic-stock/v1/ranking/credit-balance,FHKST17010000,모의투자 미지원
[국내주식] 순위분석,국내주식 예상체결 상승/하락상위,v1_국내주식-103,GET,/uapi/domestic-stock/v1/ranking/exp-trans-updown,FHPST01820000,모의투자 미지원
[국내주식] 순위분석,국내주식 우선주/괴리율 상위,v1_국내주식-094,GET,/uapi/domestic-stock/v1/ranking/prefer-disparate-ratio,FHPST01770000,모의투자 미지원
[국내주식] 순위분석,국내주식 이격도 순위,v1_국내주식-095,GET,/uapi/domestic-stock/v1/ranking/disparity,FHPST01780000,모의투자 미지원
[국내주식] 순위분석,국내주식 재무비율 순위,v1_국내주식-092,GET,/uapi/domestic-stock/v1/ranking/finance-ratio,FHPST01750000,모의투자 미지원
